type,beat,position,pitch,duration,instrument,timesignaturenumerator,timesignaturedenominator,tempo,velocity
3,55,1,43,17,36,3,3,3,4
3,55,1,63,17,15,3,3,3,4
3,55,1,66,5,39,3,3,3,4
3,55,1,67,17,15,3,3,3,4
3,55,1,70,17,15,3,3,3,4
3,55,1,74,5,39,3,3,3,4
3,56,1,67,5,39,3,3,3,4
3,56,1,75,5,39,3,3,3,4
3,57,1,46,11,36,3,3,3,4
3,57,1,70,14,39,3,3,3,4
3,57,1,73,14,39,3,3,3,4
3,58,1,63,11,15,3,3,3,4
3,58,1,67,11,15,3,3,3,4
3,58,1,70,11,15,3,3,3,4
3,58,7,67,5,39,3,3,3,4
3,58,7,70,5,39,3,3,3,4
3,59,1,39,11,36,3,3,3,4
3,59,1,63,19,39,3,3,3,4
3,59,1,67,19,39,3,3,3,4
3,60,1,63,11,15,3,3,3,4
3,60,1,67,11,15,3,3,3,4
3,60,1,70,11,15,3,3,3,4
3,61,1,46,11,36,3,3,3,4
3,61,1,63,11,15,3,3,3,4
3,61,1,67,11,15,3,3,3,4
3,61,1,70,11,15,3,3,3,4
3,62,1,67,5,39,3,3,3,4
3,62,1,75,5,39,3,3,3,4
3,63,1,43,17,36,3,3,3,4
3,63,1,63,17,15,3,3,3,4
3,63,1,66,5,39,3,3,3,4
3,63,1,67,17,15,3,3,3,4
3,63,1,70,17,15,3,3,3,4
3,63,1,74,5,39,3,3,3,4
3,64,1,67,5,39,3,3,3,4
3,64,1,75,5,39,3,3,3,4
3,65,1,46,11,36,3,3,3,4
3,65,1,70,17,39,3,3,3,4
3,65,1,79,17,39,3,3,3,4
3,66,1,67,11,15,3,3,3,4
3,66,1,70,11,15,3,3,3,4
3,66,1,75,11,15,3,3,3,4
3,67,1,39,11,36,3,3,3,4
3,67,1,73,14,39,3,3,3,4
3,67,1,77,14,39,3,3,3,4
3,68,1,67,11,15,3,3,3,4
3,68,1,70,11,15,3,3,3,4
3,68,1,75,11,15,3,3,3,4
3,68,7,72,5,39,3,3,3,4
3,68,7,75,5,39,3,3,3,4
3,69,1,43,11,36,3,3,3,4
3,69,1,70,5,39,3,3,3,4
3,69,1,73,5,39,3,3,3,4
3,70,1,66,5,39,3,3,3,4
3,70,1,67,11,15,3,3,3,4
3,70,1,69,5,39,3,3,3,4
3,70,1,70,11,15,3,3,3,4
3,70,1,75,11,15,3,3,3,4
3,71,1,46,11,36,3,3,3,4
3,71,1,67,5,39,3,3,3,4
3,71,1,70,5,39,3,3,3,4
3,72,1,67,11,15,3,3,3,4
3,72,1,70,11,15,3,3,3,4
3,72,1,73,5,39,3,3,3,4
3,72,1,75,11,15,3,3,3,4
3,72,1,79,5,39,3,3,3,4
3,73,1,44,17,36,3,3,3,4
3,73,1,68,23,39,3,3,3,4
3,73,1,77,23,39,3,3,3,4
3,74,1,68,11,15,3,3,3,4
3,74,1,73,11,15,3,3,3,4
3,74,1,77,11,15,3,3,3,4
3,75,1,48,12,36,3,3,3,4
3,75,1,68,11,15,3,3,3,4
3,75,1,73,11,15,3,3,3,4
3,75,1,77,11,15,3,3,3,4
3,76,1,49,12,36,3,3,3,4
3,76,1,68,11,15,3,3,3,4
3,76,1,73,11,15,3,3,3,4
3,76,1,77,11,15,3,3,3,4
3,77,1,51,11,36,3,3,3,4
3,77,1,67,11,15,3,3,3,4
3,77,1,70,11,15,3,3,3,4
3,77,1,72,5,39,3,3,3,4
3,77,1,75,5,39,3,3,3,4
3,77,1,75,11,15,3,3,3,4
3,78,1,70,5,39,3,3,3,4
3,78,1,73,5,39,3,3,3,4
3,79,1,39,17,36,3,3,3,4
3,79,1,63,17,15,3,3,3,4
3,79,1,67,5,39,3,3,3,4
3,79,1,67,17,15,3,3,3,4
3,79,1,70,5,39,3,3,3,4
3,79,1,70,17,15,3,3,3,4
3,80,1,61,5,39,3,3,3,4
3,80,1,63,5,39,3,3,3,4
3,81,1,44,11,36,3,3,3,4
3,81,1,60,14,39,3,3,3,4
3,81,1,68,14,39,3,3,3,4
3,82,1,63,11,15,3,3,3,4
3,82,1,68,11,15,3,3,3,4
3,82,1,72,11,15,3,3,3,4
3,82,7,63,5,39,3,3,3,4
3,82,7,70,5,39,3,3,3,4
3,83,1,39,11,36,3,3,3,4
3,83,1,68,19,39,3,3,3,4
3,83,1,72,19,39,3,3,3,4
3,84,1,63,11,15,3,3,3,4
3,84,1,68,11,15,3,3,3,4
3,84,1,72,11,15,3,3,3,4
3,85,1,44,11,36,3,3,3,4
3,85,1,63,11,15,3,3,3,4
3,85,1,68,11,15,3,3,3,4
3,85,1,72,11,15,3,3,3,4
3,86,1,63,5,39,3,3,3,4
3,86,1,68,5,39,3,3,3,4
3,87,1,48,17,36,3,3,3,4
3,87,1,63,17,15,3,3,3,4
3,87,1,68,5,39,3,3,3,4
3,87,1,68,17,15,3,3,3,4
3,87,1,72,5,39,3,3,3,4
3,87,1,72,17,15,3,3,3,4
3,88,1,72,5,39,3,3,3,4
3,88,1,75,5,39,3,3,3,4
3,89,1,44,11,36,3,3,3,4
3,89,1,73,14,39,3,3,3,4
3,89,1,77,14,39,3,3,3,4
3,90,1,63,11,15,3,3,3,4
3,90,1,68,11,15,3,3,3,4
3,90,1,72,11,15,3,3,3,4
3,90,7,68,5,39,3,3,3,4
3,90,7,72,5,39,3,3,3,4
3,91,1,39,11,36,3,3,3,4
3,91,1,72,19,39,3,3,3,4
3,91,1,75,19,39,3,3,3,4
3,92,1,63,11,15,3,3,3,4
3,92,1,68,11,15,3,3,3,4
3,92,1,72,11,15,3,3,3,4
3,93,1,44,11,36,3,3,3,4
3,93,1,63,11,15,3,3,3,4
3,93,1,68,11,15,3,3,3,4
3,93,1,72,11,15,3,3,3,4
3,94,1,72,5,39,3,3,3,4
3,94,1,75,5,39,3,3,3,4
3,95,1,48,17,36,3,3,3,4
3,95,1,63,17,15,3,3,3,4
3,95,1,68,17,15,3,3,3,4
3,95,1,71,5,39,3,3,3,4
3,95,1,72,17,15,3,3,3,4
3,95,1,74,5,39,3,3,3,4
3,96,1,72,5,39,3,3,3,4
3,96,1,75,5,39,3,3,3,4
3,97,1,44,11,36,3,3,3,4
3,97,1,68,17,39,3,3,3,4
3,97,1,72,17,39,3,3,3,4
3,98,1,63,11,15,3,3,3,4
3,98,1,68,11,15,3,3,3,4
3,98,1,72,11,15,3,3,3,4
3,99,1,39,11,36,3,3,3,4
3,99,1,63,14,39,3,3,3,4
3,99,1,67,14,39,3,3,3,4
3,100,1,63,11,15,3,3,3,4
3,100,1,68,11,15,3,3,3,4
3,100,1,72,11,15,3,3,3,4
3,100,7,63,5,39,3,3,3,4
3,100,7,68,5,39,3,3,3,4
3,101,1,44,11,36,3,3,3,4
3,101,1,68,5,39,3,3,3,4
3,101,1,72,5,39,3,3,3,4
3,102,1,63,5,39,3,3,3,4
3,102,1,63,11,15,3,3,3,4
3,102,1,68,5,39,3,3,3,4
3,102,1,68,11,15,3,3,3,4
3,102,1,72,11,15,3,3,3,4
3,103,1,39,11,36,3,3,3,4
3,103,1,68,5,39,3,3,3,4
3,103,1,72,5,39,3,3,3,4
3,104,1,63,11,15,3,3,3,4
3,104,1,68,11,15,3,3,3,4
3,104,1,72,5,39,3,3,3,4
3,104,1,72,11,15,3,3,3,4
3,104,1,75,5,39,3,3,3,4
3,105,1,41,17,36,3,3,3,4
3,105,1,70,23,39,3,3,3,4
3,105,1,79,23,39,3,3,3,4
3,106,1,70,11,15,3,3,3,4
3,106,1,73,11,15,3,3,3,4
3,106,1,79,11,15,3,3,3,4
3,107,1,46,12,36,3,3,3,4
3,107,1,70,11,15,3,3,3,4
3,107,1,73,11,15,3,3,3,4
3,107,1,79,11,15,3,3,3,4
3,108,1,48,12,36,3,3,3,4
3,108,1,70,11,15,3,3,3,4
3,108,1,73,11,15,3,3,3,4
3,108,1,79,11,15,3,3,3,4
3,109,1,49,11,36,3,3,3,4
3,109,1,70,11,15,3,3,3,4
3,109,1,73,11,15,3,3,3,4
3,109,1,73,11,39,3,3,3,4
3,109,1,77,11,15,3,3,3,4
3,109,1,77,11,39,3,3,3,4
3,111,1,41,17,36,3,3,3,4
3,111,1,70,17,15,3,3,3,4
3,111,1,73,17,15,3,3,3,4
3,111,1,77,17,15,3,3,3,4
3,113,1,44,11,36,3,3,3,4
3,113,1,77,14,39,3,3,3,4
3,113,1,80,14,39,3,3,3,4
3,114,1,68,11,15,3,3,3,4
3,114,1,73,11,15,3,3,3,4
3,114,1,77,11,15,3,3,3,4
3,114,7,73,5,39,3,3,3,4
3,114,7,77,5,39,3,3,3,4
3,115,1,41,11,36,3,3,3,4
3,115,1,68,11,15,3,3,3,4
3,115,1,68,19,39,3,3,3,4
3,115,1,73,11,15,3,3,3,4
3,115,1,73,19,39,3,3,3,4
3,115,1,77,11,15,3,3,3,4
3,116,1,68,11,15,3,3,3,4
3,116,1,73,11,15,3,3,3,4
3,116,1,77,11,15,3,3,3,4
3,117,1,44,11,36,3,3,3,4
3,117,1,68,11,15,3,3,3,4
3,117,1,73,11,15,3,3,3,4
3,117,1,77,11,15,3,3,3,4
3,118,1,68,5,39,3,3,3,4
3,118,1,73,5,39,3,3,3,4
3,119,1,41,11,36,3,3,3,4
3,119,1,68,17,15,3,3,3,4
3,119,1,72,5,39,3,3,3,4
3,119,1,73,17,15,3,3,3,4
3,119,1,75,5,39,3,3,3,4
3,119,1,77,17,15,3,3,3,4
3,120,1,73,5,39,3,3,3,4
3,120,1,77,5,39,3,3,3,4
3,121,1,48,11,36,3,3,3,4
3,121,1,72,14,39,3,3,3,4
3,121,1,75,14,39,3,3,3,4
3,122,1,68,11,15,3,3,3,4
3,122,1,72,11,15,3,3,3,4
3,122,1,75,11,15,3,3,3,4
3,122,7,68,5,39,3,3,3,4
3,122,7,72,5,39,3,3,3,4
3,123,1,39,11,36,3,3,3,4
3,123,1,63,19,39,3,3,3,4
3,123,1,68,11,15,3,3,3,4
3,123,1,68,19,39,3,3,3,4
3,123,1,72,11,15,3,3,3,4
3,123,1,75,11,15,3,3,3,4
3,124,1,68,11,15,3,3,3,4
3,124,1,72,11,15,3,3,3,4
3,124,1,75,11,15,3,3,3,4
3,125,1,48,11,36,3,3,3,4
3,125,1,68,11,15,3,3,3,4
3,125,1,72,11,15,3,3,3,4
3,125,1,75,11,15,3,3,3,4
3,126,1,72,5,39,3,3,3,4
3,126,1,80,5,39,3,3,3,4
3,127,1,39,11,36,3,3,3,4
3,127,1,68,17,15,3,3,3,4
3,127,1,72,17,15,3,3,3,4
3,127,1,75,5,39,3,3,3,4
3,127,1,75,17,15,3,3,3,4
3,127,1,79,5,39,3,3,3,4
3,128,1,73,5,39,3,3,3,4
3,128,1,77,5,39,3,3,3,4
3,129,1,43,11,36,3,3,3,4
3,129,1,73,14,39,3,3,3,4
3,129,1,75,14,39,3,3,3,4
3,130,1,67,11,15,3,3,3,4
3,130,1,70,11,15,3,3,3,4
3,130,1,73,11,15,3,3,3,4
3,130,7,70,5,39,3,3,3,4
3,130,7,73,5,39,3,3,3,4
3,131,1,46,11,36,3,3,3,4
3,131,1,67,11,15,3,3,3,4
3,131,1,67,17,39,3,3,3,4
3,131,1,70,11,15,3,3,3,4
3,131,1,70,17,39,3,3,3,4
3,131,1,73,11,15,3,3,3,4
3,132,1,67,11,15,3,3,3,4
3,132,1,70,11,15,3,3,3,4
3,132,1,73,11,15,3,3,3,4
3,133,1,39,11,36,3,3,3,4
3,133,1,67,5,39,3,3,3,4
3,133,1,67,11,15,3,3,3,4
3,133,1,70,11,15,3,3,3,4
3,133,1,73,11,15,3,3,3,4
3,133,1,75,5,39,3,3,3,4
3,134,1,70,5,39,3,3,3,4
3,134,1,73,5,39,3,3,3,4
3,135,1,46,11,36,3,3,3,4
3,135,1,61,5,39,3,3,3,4
3,135,1,67,17,15,3,3,3,4
3,135,1,70,5,39,3,3,3,4
3,135,1,70,17,15,3,3,3,4
3,135,1,73,17,15,3,3,3,4
3,136,1,63,5,39,3,3,3,4
3,136,1,72,5,39,3,3,3,4
3,137,1,44,5,36,3,3,3,4
3,137,1,60,5,39,3,3,3,4
3,137,1,60,11,15,3,3,3,4
3,137,1,63,11,15,3,3,3,4
3,137,1,68,5,39,3,3,3,4
3,137,1,68,11,15,3,3,3,4
3,138,1,39,5,36,3,3,3,4
3,139,1,43,11,36,3,3,3,4
3,139,1,58,17,15,3,3,3,4
3,139,1,61,11,39,3,3,3,4
3,139,1,61,17,15,3,3,3,4
3,139,1,63,11,39,3,3,3,4
3,139,1,63,17,15,3,3,3,4
3,140,1,41,6,36,3,3,3,4
3,140,1,61,6,39,3,3,3,4
3,140,1,65,6,39,3,3,3,4
3,140,7,43,5,36,3,3,3,4
3,140,7,61,5,39,3,3,3,4
3,140,7,67,5,39,3,3,3,4
3,141,1,44,2,36,3,3,3,4
3,141,1,60,2,39,3,3,3,4
3,141,1,60,5,15,3,3,3,4
3,141,1,63,5,15,3,3,3,4
3,141,1,68,2,39,3,3,3,4
3,141,1,68,5,15,3,3,3,4
3,142,7,44,5,36,3,3,3,4
3,142,7,60,5,15,3,3,3,4
3,142,7,60,5,39,3,3,3,4
3,142,7,63,5,15,3,3,3,4
3,142,7,68,5,15,3,3,3,4
3,142,7,68,5,39,3,3,3,4
3,143,1,44,5,36,3,3,3,4
3,143,1,60,5,39,3,3,3,4
3,143,1,60,11,15,3,3,3,4
3,143,1,63,11,15,3,3,3,4
3,143,1,68,5,39,3,3,3,4
3,143,1,68,11,15,3,3,3,4
3,145,1,43,11,36,3,3,3,4
3,145,1,67,5,39,3,3,3,4
3,145,1,70,5,39,3,3,3,4
3,146,1,63,11,15,3,3,3,4
3,146,1,67,11,15,3,3,3,4
3,146,1,70,11,15,3,3,3,4
3,146,7,61,5,39,3,3,3,4
3,146,7,63,5,39,3,3,3,4
3,147,1,46,11,36,3,3,3,4
3,147,1,61,21,39,3,3,3,4
3,147,1,63,21,39,3,3,3,4
3,148,1,63,11,15,3,3,3,4
3,148,1,67,11,15,3,3,3,4
3,148,1,70,11,15,3,3,3,4
3,149,1,39,11,36,3,3,3,4
3,149,1,63,11,15,3,3,3,4
3,149,1,67,11,15,3,3,3,4
3,149,1,70,11,15,3,3,3,4
3,151,1,46,17,36,3,3,3,4
3,151,1,61,3,39,3,3,3,4
3,151,1,63,3,39,3,3,3,4
3,151,1,63,17,15,3,3,3,4
3,151,1,67,17,15,3,3,3,4
3,151,1,70,17,15,3,3,3,4
3,151,9,63,3,39,3,3,3,4
3,151,9,67,3,39,3,3,3,4
3,152,5,67,3,39,3,3,3,4
3,152,5,70,3,39,3,3,3,4
3,153,1,44,11,36,3,3,3,4
3,153,1,65,15,39,3,3,3,4
3,153,1,73,15,39,3,3,3,4
3,154,1,63,11,15,3,3,3,4
3,154,1,68,11,15,3,3,3,4
3,154,1,72,11,15,3,3,3,4
3,154,7,63,6,39,3,3,3,4
3,154,7,72,6,39,3,3,3,4
3,155,1,39,11,36,3,3,3,4
3,155,1,62,15,39,3,3,3,4
3,155,1,71,15,39,3,3,3,4
3,156,1,63,11,15,3,3,3,4
3,156,1,68,11,15,3,3,3,4
3,156,1,72,11,15,3,3,3,4
3,156,7,65,5,39,3,3,3,4
3,156,7,73,5,39,3,3,3,4
3,157,1,44,11,36,3,3,3,4
3,157,1,63,22,39,3,3,3,4
3,157,1,72,22,39,3,3,3,4
3,158,1,63,11,15,3,3,3,4
3,158,1,68,11,15,3,3,3,4
3,158,1,72,11,15,3,3,3,4
3,159,1,48,17,36,3,3,3,4
3,159,1,63,11,15,3,3,3,4
3,159,1,68,11,15,3,3,3,4
3,159,1,72,11,15,3,3,3,4
3,160,1,63,11,15,3,3,3,4
3,160,1,68,11,15,3,3,3,4
3,160,1,72,11,15,3,3,3,4
3,161,1,45,11,36,3,3,3,4
3,161,1,69,5,39,3,3,3,4
3,161,1,72,5,39,3,3,3,4
3,162,1,65,11,15,3,3,3,4
3,162,1,69,11,15,3,3,3,4
3,162,1,72,11,15,3,3,3,4
3,162,7,63,5,39,3,3,3,4
3,162,7,65,5,39,3,3,3,4
3,163,1,41,11,36,3,3,3,4
3,163,1,63,20,39,3,3,3,4
3,163,1,65,20,39,3,3,3,4
3,164,1,65,11,15,3,3,3,4
3,164,1,69,11,15,3,3,3,4
3,164,1,72,11,15,3,3,3,4
3,165,1,45,11,36,3,3,3,4
3,165,1,65,11,15,3,3,3,4
3,165,1,69,11,15,3,3,3,4
3,165,1,72,11,15,3,3,3,4
3,167,1,48,17,36,3,3,3,4
3,167,1,63,3,39,3,3,3,4
3,167,1,65,3,39,3,3,3,4
3,167,1,65,17,15,3,3,3,4
3,167,1,69,17,15,3,3,3,4
3,167,1,72,17,15,3,3,3,4
3,167,9,65,3,39,3,3,3,4
3,167,9,69,3,39,3,3,3,4
3,168,5,69,3,39,3,3,3,4
3,168,5,72,3,39,3,3,3,4
3,169,1,41,11,36,3,3,3,4
3,169,1,72,15,39,3,3,3,4
3,169,1,75,15,39,3,3,3,4
3,170,1,65,11,15,3,3,3,4
3,170,1,70,11,15,3,3,3,4
3,170,1,73,11,15,3,3,3,4
3,170,7,70,6,39,3,3,3,4
3,170,7,73,6,39,3,3,3,4
3,171,1,49,11,36,3,3,3,4
3,171,1,69,15,39,3,3,3,4
3,171,1,72,15,39,3,3,3,4
3,172,1,65,11,15,3,3,3,4
3,172,1,70,11,15,3,3,3,4
3,172,1,73,11,15,3,3,3,4
3,172,7,72,5,39,3,3,3,4
3,172,7,75,5,39,3,3,3,4
3,173,1,46,11,36,3,3,3,4
3,173,1,70,22,39,3,3,3,4
3,173,1,73,22,39,3,3,3,4
3,174,1,65,11,15,3,3,3,4
3,174,1,70,11,15,3,3,3,4
3,174,1,73,11,15,3,3,3,4
3,175,1,39,12,36,3,3,3,4
3,175,1,65,11,15,3,3,3,4
3,175,1,70,11,15,3,3,3,4
3,175,1,73,11,15,3,3,3,4
3,176,1,40,11,36,3,3,3,4
3,176,1,65,11,15,3,3,3,4
3,176,1,70,11,15,3,3,3,4
3,176,1,73,11,15,3,3,3,4
3,177,1,41,11,36,3,3,3,4
3,177,1,61,14,39,3,3,3,4
3,177,1,65,14,39,3,3,3,4
3,178,1,61,11,15,3,3,3,4
3,178,1,65,11,15,3,3,3,4
3,178,1,68,11,15,3,3,3,4
3,178,7,63,5,39,3,3,3,4
3,178,7,67,5,39,3,3,3,4
3,179,1,49,11,36,3,3,3,4
3,179,1,65,20,39,3,3,3,4
3,179,1,68,20,39,3,3,3,4
3,180,1,61,11,15,3,3,3,4
3,180,1,65,11,15,3,3,3,4
3,180,1,68,11,15,3,3,3,4
3,181,1,41,11,36,3,3,3,4
3,181,1,61,11,15,3,3,3,4
3,181,1,65,11,15,3,3,3,4
3,181,1,68,11,15,3,3,3,4
3,183,1,44,17,36,3,3,3,4
3,183,1,61,17,15,3,3,3,4
3,183,1,63,3,39,3,3,3,4
3,183,1,65,17,15,3,3,3,4
3,183,1,67,3,39,3,3,3,4
3,183,1,68,17,15,3,3,3,4
3,183,9,65,3,39,3,3,3,4
3,183,9,68,3,39,3,3,3,4
3,184,5,67,3,39,3,3,3,4
3,184,5,70,3,39,3,3,3,4
3,185,1,39,11,36,3,3,3,4
3,185,1,68,14,39,3,3,3,4
3,185,1,72,14,39,3,3,3,4
3,186,1,63,11,15,3,3,3,4
3,186,1,68,11,15,3,3,3,4
3,186,1,72,11,15,3,3,3,4
3,186,7,70,5,39,3,3,3,4
3,186,7,73,5,39,3,3,3,4
3,187,1,48,11,36,3,3,3,4
3,187,1,72,20,39,3,3,3,4
3,187,1,75,20,39,3,3,3,4
3,188,1,63,11,15,3,3,3,4
3,188,1,68,11,15,3,3,3,4
3,188,1,72,11,15,3,3,3,4
3,189,1,44,11,36,3,3,3,4
3,189,1,63,11,15,3,3,3,4
3,189,1,68,11,15,3,3,3,4
3,189,1,72,11,15,3,3,3,4
3,191,1,48,17,36,3,3,3,4
