Start of song
Instrument: None
Start of notes
Note: beat=0, position=0, pitch=F3, duration=6, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=1, position=0, pitch=D4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=2, position=0, pitch=F4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=2, position=0, pitch=A4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=2, position=0, pitch=D5, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=2, position=0, pitch=A4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=3, position=0, pitch=G3, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=3, position=0, pitch=B3, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=3, position=0, pitch=B4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=3, position=6, pitch=D4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=4, position=6, pitch=D5, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=4, position=6, pitch=A2, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=4, position=6, pitch=E3, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=5, position=9, pitch=G4, duration=6, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=5, position=0, pitch=E3, duration=6, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=5, position=0, pitch=D3, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=5, position=0, pitch=D4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=5, position=0, pitch=D4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=5, position=0, pitch=A4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=5, position=0, pitch=D3, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=5, position=0, pitch=A#3, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=6, position=0, pitch=A#3, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=6, position=6, pitch=D4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=7, position=6, pitch=G4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=7, position=6, pitch=D4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=8, position=6, pitch=D5, duration=3, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=8, position=9, pitch=B3, duration=3, instrument=flutenumerator=4,denominator=4tempo=1,velocity=3
Note: beat=8, position=0, pitch=G4, duration=24, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=8, position=0, pitch=G4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=8, position=0, pitch=D5, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=8, position=0, pitch=D5, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=8, position=6, pitch=D5, duration=3, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=8, position=9, pitch=D3, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=8, position=0, pitch=C3, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=8, position=0, pitch=E4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=9, position=0, pitch=A4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=9, position=0, pitch=A4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=9, position=6, pitch=A4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=9, position=6, pitch=C5, duration=6, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=10, position=0, pitch=A4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=10, position=0, pitch=C#5, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=11, position=6, pitch=E5, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=11, position=6, pitch=D4, duration=6, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=11, position=0, pitch=D5, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=11, position=0, pitch=D5, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=11, position=6, pitch=A4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=11, position=6, pitch=C#5, duration=6, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=12, position=6, pitch=A5, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=12, position=6, pitch=E4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=12, position=6, pitch=E4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=12, position=6, pitch=G4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=12, position=6, pitch=B4, duration=6, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=12, position=6, pitch=B3, duration=6, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=12, position=6, pitch=B4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=12, position=6, pitch=B4, duration=3, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=12, position=6, pitch=F#5, duration=3, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=12, position=9, pitch=A3, duration=3, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=13, position=9, pitch=D4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=13, position=9, pitch=E4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=13, position=6, pitch=E4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=13, position=6, pitch=E4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=13, position=6, pitch=E4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=14, position=6, pitch=A4, duration=3, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=14, position=6, pitch=A5, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=14, position=6, pitch=F#5, duration=3, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=14, position=9, pitch=B4, duration=3, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=14, position=9, pitch=B4, duration=3, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=14, position=0, pitch=B4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=14, position=0, pitch=E5, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=14, position=0, pitch=E4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=14, position=0, pitch=E4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=15, position=0, pitch=A4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=15, position=0, pitch=A3, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=15, position=0, pitch=A4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=15, position=0, pitch=A4, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=15, position=0, pitch=A4, duration=3, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=15, position=0, pitch=A4, duration=3, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=15, position=3, pitch=A5, duration=3, instrument=flutenumerator=4,denominator=4tempo=1,velocity=3
Note: beat=15, position=6, pitch=A5, duration=3, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=15, position=9, pitch=A4, duration=3, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=15, position=9, pitch=A4, duration=3, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=15, position=9, pitch=A5, duration=3, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=16, position=0, pitch=E3, duration=3, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=16, position=0, pitch=E4, duration=3, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=16, position=0, pitch=G#4, duration=3, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=16, position=0, pitch=A4, duration=3, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=16, position=3, pitch=C5, duration=3, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=16, position=3, pitch=A3, duration=11, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=16, position=3, pitch=A3, duration=3, instrument=harpsichordnumerator=4,denominator=4tempo=1,velocity=3
Note: beat=16, position=6, pitch=C4, duration=2, instrument=harpsichordnumerator=4,denominator=2tempo=1,velocity=3
Note: beat=16, position=6, pitch=E4, duration=3, instrument=harpsichordnumerator=4,denominator=2tempo=1,velocity=3
Note: beat=16, position=6, pitch=A4, duration=6, instrument=harpsichordnumerator=4,denominator=2tempo=1,velocity=3
Note: beat=16, position=6, pitch=D5, duration=3, instrument=harpsichordnumerator=4,denominator=2tempo=1,velocity=3
Note: beat=16, position=9, pitch=E3, duration=3, instrument=recordernumerator=4,denominator=2tempo=1,velocity=3
Note: beat=17, position=0, pitch=A3, duration=11, instrument=harpsichordnumerator=4,denominator=2tempo=1,velocity=3
Note: beat=17, position=0, pitch=A4, duration=3, instrument=harpsichordnumerator=4,denominator=2tempo=1,velocity=3
Note: beat=17, position=3, pitch=A4, duration=3, instrument=harpsichordnumerator=4,denominator=2tempo=1,velocity=3
Note: beat=17, position=6, pitch=A4, duration=3, instrument=harpsichordnumerator=4,denominator=2tempo=1,velocity=3
Note: beat=18, position=6, pitch=E5, duration=3, instrument=harpsichordnumerator=4,denominator=2tempo=1,velocity=3
Note: beat=119, position=9, pitch=D4, duration=3, instrument=harpsichordnumerator=4,denominator=2tempo=1,velocity=3
Note: beat=129, position=9, pitch=E4, duration=3, instrument=harpsichordnumerator=4,denominator=2tempo=1,velocity=3
Note: beat=137, position=9, pitch=D4, duration=6, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=137, position=0, pitch=D4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=137, position=0, pitch=B4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=138, position=0, pitch=E4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=138, position=0, pitch=E4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=138, position=0, pitch=G4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=138, position=0, pitch=A4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=138, position=0, pitch=A3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=138, position=0, pitch=D4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=214, position=0, pitch=A4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=234, position=0, pitch=A4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=250, position=0, pitch=C#5, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=918, position=0, pitch=B4, duration=6, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=945, position=6, pitch=E5, duration=6, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=981, position=0, pitch=B3, duration=6, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1006, position=0, pitch=B3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1012, position=0, pitch=D4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1020, position=0, pitch=B4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1022, position=6, pitch=B4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1022, position=6, pitch=F#5, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1022, position=6, pitch=B4, duration=11, instrument=cellonumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1022, position=6, pitch=B4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1023, position=0, pitch=B2, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1023, position=0, pitch=D4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1023, position=0, pitch=A4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1023, position=0, pitch=B4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1023, position=0, pitch=D5, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1023, position=6, pitch=D5, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1023, position=6, pitch=E3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1023, position=6, pitch=E3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1023, position=6, pitch=A3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1023, position=6, pitch=B4, duration=3, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1023, position=9, pitch=B5, duration=3, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1023, position=9, pitch=B3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=0, pitch=B3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=0, pitch=D4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=0, pitch=F#4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=0, pitch=B4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=0, pitch=D5, duration=24, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=0, pitch=F#5, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=0, pitch=F#3, duration=11, instrument=voicesnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=0, pitch=F#3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=0, pitch=F#3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=0, pitch=A#3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=0, pitch=B4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=0, pitch=A3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=0, pitch=F#4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=F#4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=F#4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=0, pitch=F#4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B2, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B3, duration=6, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=0, pitch=B3, duration=36, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=0, pitch=B3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=0, pitch=B3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=D4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=F#4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=A4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=0, pitch=F#4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=0, pitch=F#4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=0, pitch=A4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=A4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=C#5, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=F#5, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=9, pitch=B3, duration=6, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=F#4, duration=6, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=F#4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=E3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=F#4, duration=6, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=F#4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=F#4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=F#4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=E4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=E4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=G4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B4, duration=6, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=E3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B3, duration=24, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=D#4, duration=24, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=G4, duration=24, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=E4, duration=24, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=E4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=E4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B4, duration=6, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B4, duration=6, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=E5, duration=6, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B3, duration=6, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=F#4, duration=6, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=E4, duration=6, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=G4, duration=6, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B3, duration=6, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B3, duration=6, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B3, duration=6, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=E4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=E3, duration=24, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=E4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=E3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=C#4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=E4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B3, duration=24, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=E4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=E3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=E4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B3, duration=6, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=D4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=F#4, duration=6, instrument=harpsichordnumerator=3,denominator=8tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B3, duration=11, instrument=harpsichordnumerator=3,denominator=4tempo=1,velocity=3
Note: beat=1024, position=6, pitch=B3, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
Note: beat=1024, position=6, pitch=E4, duration=11, instrument=harpsichordnumerator=3,denominator=2tempo=1,velocity=3
