Start of song
Instrument: piano
Start of notes
Note: beat=0, position=0, pitch=D2, duration=21, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=9, position=0, pitch=C5, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=9, position=0, pitch=C5, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=9, position=0, pitch=D5, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=10, position=0, pitch=A2, duration=5, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=10, position=0, pitch=F#4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=10, position=0, pitch=A4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=11, position=0, pitch=B2, duration=5, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=11, position=0, pitch=C4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=11, position=0, pitch=D4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=11, position=0, pitch=D4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=11, position=0, pitch=F#4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=11, position=0, pitch=A4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=12, position=0, pitch=C3, duration=5, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=12, position=0, pitch=C4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=12, position=0, pitch=C4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=12, position=0, pitch=D4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=12, position=0, pitch=D4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=12, position=0, pitch=F#4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=14, position=0, pitch=D2, duration=21, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=14, position=0, pitch=A3, duration=21, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=14, position=0, pitch=C4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=14, position=0, pitch=C4, duration=21, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=14, position=0, pitch=D4, duration=21, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=14, position=0, pitch=E4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=15, position=0, pitch=C4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=15, position=0, pitch=F#4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=16, position=0, pitch=G2, duration=11, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=16, position=0, pitch=B3, duration=16, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=16, position=0, pitch=G4, duration=16, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=17, position=0, pitch=D4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=17, position=0, pitch=G4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=17, position=0, pitch=B4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=17, position=6, pitch=D4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=17, position=6, pitch=A4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=18, position=0, pitch=D2, duration=11, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=18, position=0, pitch=G4, duration=30, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=18, position=0, pitch=B4, duration=30, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=19, position=0, pitch=D4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=19, position=0, pitch=G4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=19, position=0, pitch=B4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=20, position=0, pitch=G2, duration=11, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=20, position=0, pitch=D4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=20, position=0, pitch=G4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=20, position=0, pitch=B4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=21, position=0, pitch=D4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=21, position=0, pitch=G4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=22, position=0, pitch=B2, duration=21, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=22, position=0, pitch=D4, duration=21, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=22, position=0, pitch=G4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=22, position=0, pitch=G4, duration=21, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=22, position=0, pitch=B4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=22, position=0, pitch=B4, duration=21, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=23, position=0, pitch=B4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=23, position=0, pitch=D5, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=24, position=0, pitch=G2, duration=11, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=24, position=0, pitch=C5, duration=16, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=24, position=0, pitch=E5, duration=16, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=25, position=0, pitch=D4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=25, position=0, pitch=G4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=25, position=0, pitch=B4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=25, position=6, pitch=G4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=25, position=6, pitch=B4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=26, position=0, pitch=D2, duration=11, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=26, position=0, pitch=B4, duration=30, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=26, position=0, pitch=D5, duration=30, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=27, position=0, pitch=D4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=27, position=0, pitch=G4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=27, position=0, pitch=B4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=28, position=0, pitch=G2, duration=11, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=28, position=0, pitch=D4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=28, position=0, pitch=G4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=28, position=0, pitch=B4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=29, position=0, pitch=B4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=29, position=0, pitch=D5, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=30, position=0, pitch=B2, duration=21, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=30, position=0, pitch=D4, duration=21, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=30, position=0, pitch=G4, duration=21, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=30, position=0, pitch=A#4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=30, position=0, pitch=B4, duration=21, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=30, position=0, pitch=C#5, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=31, position=0, pitch=B4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=31, position=0, pitch=D5, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=32, position=0, pitch=G2, duration=11, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=32, position=0, pitch=G4, duration=21, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=32, position=0, pitch=B4, duration=21, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=33, position=0, pitch=D4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=33, position=0, pitch=G4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=33, position=0, pitch=B4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=34, position=0, pitch=D2, duration=11, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=34, position=0, pitch=D4, duration=16, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=34, position=0, pitch=F#4, duration=16, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=35, position=0, pitch=D4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=35, position=0, pitch=G4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=35, position=0, pitch=B4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=35, position=6, pitch=D4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=35, position=6, pitch=G4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=36, position=0, pitch=G2, duration=11, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=36, position=0, pitch=C5, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=36, position=0, pitch=E5, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=37, position=0, pitch=D4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=37, position=0, pitch=G4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=37, position=0, pitch=B4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=37, position=0, pitch=B4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=37, position=0, pitch=D5, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=38, position=0, pitch=D2, duration=11, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=38, position=0, pitch=A4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=38, position=0, pitch=C5, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=39, position=0, pitch=D4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=39, position=0, pitch=G4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=39, position=0, pitch=G4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=39, position=0, pitch=B4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=39, position=0, pitch=B4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=40, position=0, pitch=D2, duration=21, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=40, position=0, pitch=F#4, duration=48, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=40, position=0, pitch=B4, duration=48, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=41, position=0, pitch=D4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=41, position=0, pitch=F#4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=41, position=0, pitch=B4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=42, position=0, pitch=F#2, duration=12, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=42, position=0, pitch=D4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=42, position=0, pitch=F#4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=42, position=0, pitch=B4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=43, position=0, pitch=G2, duration=12, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=43, position=0, pitch=D4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=43, position=0, pitch=F#4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=43, position=0, pitch=B4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=44, position=0, pitch=A2, duration=11, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=44, position=0, pitch=D4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=44, position=0, pitch=F#4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=44, position=0, pitch=F#4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=44, position=0, pitch=A4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=44, position=0, pitch=A4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=46, position=0, pitch=D2, duration=21, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=46, position=0, pitch=D4, duration=21, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=46, position=0, pitch=F#4, duration=21, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=46, position=0, pitch=A4, duration=21, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=48, position=0, pitch=A2, duration=11, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=48, position=0, pitch=D4, duration=16, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=48, position=0, pitch=F#4, duration=16, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=49, position=0, pitch=D4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=49, position=0, pitch=F#4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=49, position=0, pitch=A4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=49, position=6, pitch=F#4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=49, position=6, pitch=A4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=50, position=0, pitch=D2, duration=11, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=50, position=0, pitch=F#4, duration=30, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=50, position=0, pitch=D5, duration=30, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=51, position=0, pitch=D4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=51, position=0, pitch=F#4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=51, position=0, pitch=A4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=52, position=0, pitch=A2, duration=11, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=52, position=0, pitch=D4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=52, position=0, pitch=F#4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=52, position=0, pitch=A4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=53, position=0, pitch=F#4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=53, position=0, pitch=D5, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=54, position=0, pitch=F#2, duration=21, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=54, position=0, pitch=D4, duration=21, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=54, position=0, pitch=F4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=54, position=0, pitch=F#4, duration=21, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=54, position=0, pitch=A4, duration=21, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=54, position=0, pitch=C#5, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=55, position=0, pitch=F#4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=55, position=0, pitch=D5, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=56, position=0, pitch=A2, duration=11, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=56, position=0, pitch=A4, duration=16, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=56, position=0, pitch=C5, duration=16, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=57, position=0, pitch=D4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=57, position=0, pitch=F#4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=57, position=0, pitch=A4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=57, position=6, pitch=F#4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=57, position=6, pitch=A4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=58, position=0, pitch=D2, duration=11, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=58, position=0, pitch=D4, duration=30, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=58, position=0, pitch=F#4, duration=30, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=59, position=0, pitch=D4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=59, position=0, pitch=F#4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=59, position=0, pitch=A4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=60, position=0, pitch=A2, duration=11, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=60, position=0, pitch=D4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=60, position=0, pitch=F#4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=60, position=0, pitch=A4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=61, position=0, pitch=F#4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=61, position=0, pitch=D5, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=62, position=0, pitch=F#2, duration=21, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=62, position=0, pitch=D4, duration=21, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=62, position=0, pitch=F4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=62, position=0, pitch=F#4, duration=21, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=62, position=0, pitch=A4, duration=21, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=62, position=0, pitch=C#5, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=63, position=0, pitch=F#4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=63, position=0, pitch=D5, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=64, position=0, pitch=A2, duration=11, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=64, position=0, pitch=A4, duration=21, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=64, position=0, pitch=F#5, duration=21, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=65, position=0, pitch=F#4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=65, position=0, pitch=A4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=65, position=0, pitch=D5, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=66, position=0, pitch=D2, duration=11, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=66, position=0, pitch=C5, duration=16, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=66, position=0, pitch=E5, duration=16, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=67, position=0, pitch=F#4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=67, position=0, pitch=A4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=67, position=0, pitch=D5, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=67, position=6, pitch=B4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=67, position=6, pitch=D5, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=68, position=0, pitch=F#2, duration=11, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
Note: beat=68, position=0, pitch=A4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=68, position=0, pitch=C5, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=69, position=0, pitch=F4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=69, position=0, pitch=F#4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=69, position=0, pitch=G#4, duration=5, instrument=brassesnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=69, position=0, pitch=A4, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=69, position=0, pitch=D5, duration=11, instrument=accordionnumerator=2,denominator=2tempo=2,velocity=3
Note: beat=70, position=0, pitch=A2, duration=11, instrument=trombonenumerator=2,denominator=2tempo=2,velocity=3
